time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
521,129024,63,6.724200000000001,247,334.58,1.654475821647793,0.2,0.4997028708457947,620,-0.01672943838057108,0.5475354790687561,0.178759765625,-1.6125037662684918,0.0003,0.017563395,,
,130000,,,,,1.2803781883325427,0.2,0.5042610168457031,630,-0.010649725442635826,0.22040054202079773,0.198095703125,-1.5892146687954665,0.0003,0.017134126,2.7199999999999998,273.6
533,131072,64,6.0116,245,333.29,,,,,,,,,,,,
541,133120,65,4.9885,245,320.87,1.779440512880683,0.2,0.13947969675064087,640,-0.013164044106088114,0.39734750986099243,0.2376953125,-1.8035367272794247,0.0003,0.020320605,,
549,135168,66,4.903300000000001,245,322.36,1.6173246373422443,0.2,0.29628151655197144,650,-0.008542513998690993,0.3650941848754883,0.154638671875,-1.7558524653315544,0.0003,0.013421442,,
557,137216,67,5.6188,246,323.94,1.7052156932651996,0.2,0.1742405891418457,660,-0.013284275430487468,0.5419252514839172,0.178759765625,-1.7753003492951394,0.0003,0.020411612,,
565,139264,68,5.6693,246,318.98,2.408337336499244,0.2,0.35028958320617676,670,-0.011390458239475265,0.8304983973503113,0.175927734375,-1.757979293167591,0.0003,0.017011872,,
,140000,,,,,1.7764655877370388,0.2,0.08522254228591919,680,-0.01205229781626258,0.6146810054779053,0.183984375,-1.7009152621030807,0.0003,0.0208746,-7.9319999999999995,207.8
579,141312,69,5.578499999999998,244,319.89,,,,,,,,,,,,
588,143360,70,5.168900000000001,243,318.93,1.3006886396557094,0.2,0.3462527394294739,690,-0.011403664079261943,0.3903108537197113,0.20068359375,-1.5819999232888222,0.0003,0.02368655,,
597,145408,71,4.7156,243,313.56,1.9491567793302238,0.2,0.19953274726867676,700,-0.01052586743608117,0.4773083031177521,0.146435546875,-1.6149312663823365,0.0003,0.017595252,,
