time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
667648,952,700,-15.895999999999997,59.96,326,3250,0.025830078125,-0.7292267084121704,-0.3191365894395858,4.253370763596109e-07,0.2,0.0003,-0.004386939574033022,-0.000623777334112674,0.002230613,,
669696,955,700,-15.811000000000002,59.11,327,3260,0.0265625,-0.3834075927734375,-0.3232253366149962,3.683740515780798e-06,0.2,0.0003,0.03163650631904602,-9.462320595048368e-05,0.0026483699,,
670000,,,,,,3270,0.01513671875,0.3742991089820862,-0.302326795225963,5.175631989651208e-08,0.2,0.0003,-0.007402416784316301,-0.003801240518805571,0.0017951888,-16.859999999999996,69.6
671744,958,700,-15.829,59.29,328,,,,,,,,,,,,
673792,961,700,-15.779000000000002,58.79,329,3280,0.010400390625,0.681949257850647,-0.29690985176712276,3.911519019794696e-08,0.2,0.0003,-0.001011734246276319,-0.0021993262809701262,0.0013206669,,
675840,964,700,-15.859999999999998,59.6,330,3290,0.027294921875,0.3354194164276123,-0.2922933688852936,2.393498388819637e-07,0.2,0.0003,-0.010273117572069168,-0.0009021284364280291,0.0014983951,,
677888,967,700,-15.937000000000001,60.37,331,3300,0.009912109375,0.2429136037826538,-0.30222726431675256,2.651427074340518e-07,0.2,0.0003,-0.0011716274311766028,0.0005219381069764495,0.0011542806,,
679936,970,700,-16.13,62.3,332,3310,0.01279296875,0.28052467107772827,-0.29132795170880854,1.392677276879084e-06,0.2,0.0003,-0.005823584273457527,-0.001647720648907125,0.0016008784,,
680000,,,,,,3320,0.01357421875,0.2614193558692932,-0.2810048747807741,4.70902918081606e-07,0.2,0.0003,0.0001385409850627184,-2.0881147065665573e-05,0.0019610391,-17.139999999999997,72.4
681984,973,700,-16.173,62.73,333,,,,,,,,,,,,
684032,976,700,-16.295,63.95,334,3330,0.03134765625,0.7074947357177734,-0.2722690373659134,2.1356251647119962e-07,0.2,0.0003,0.0009451178484596312,-0.0026055087364511564,0.0024306714,,
686080,979,700,-16.281,63.81,335,3340,0.015966796875,-0.978216290473938,-0.28485248712822797,1.06471030747457e-07,0.2,0.0003,-0.007815551944077015,0.00012518339208327233,0.0007364552,,
688128,982,700,-16.278999999999996,63.79,336,3350,0.01748046875,-0.9665653705596924,-0.2682673116680235,7.625293596547067e-07,0.2,0.0003,-0.007627443876117468,-0.00040902888285927476,0.0026406217,,
690000,,,,,,3360,0.021044921875,-0.3199925422668457,-0.2778949751518667,4.2093387637720524e-07,0.2,0.0003,0.002219658112153411,-0.0011079794319812208,0.0013791053,-17.479999999999997,75.8
690176,985,700,-16.288999999999998,63.89,337,,,,,,,,,,,,
692224,988,700,-16.121,62.21,338,3370,0.033251953125,-3.5044479370117188,-0.2871508753392845,2.1324881751105805e-06,0.2,0.0003,0.002633738564327359,-0.0005097311237477698,0.0032637077,,
694272,991,700,-16.109,62.09,339,3380,0.021337890625,0.030586063861846924,-0.2594544403254986,6.879042960594717e-07,0.2,0.0003,-0.003965758252888918,-0.0025707622873596845,0.0020189306,,
696320,993,700,-16.124,62.24,340,3390,0.019775390625,0.5226448774337769,-0.25615651146508756,8.08500828952674e-08,0.2,0.0003,0.008620410226285458,-0.001588276756228879,0.0018484666,,
698368,996,700,-16.197,62.97,341,3400,0.0673828125,-2.1851422786712646,-0.28251393786631523,2.4552957977874713e-08,0.2,0.0003,0.0037864535115659237,-0.0035004838311579077,0.008596631,,
700000,,,,,,3410,0.0169921875,-2.553480625152588,-0.28580453018657864,5.441356134561204e-07,0.2,0.0003,-0.005076764151453972,-0.00033419341198168693,0.0030393964,-17.72,78.2
700416,999,700,-16.268,63.68,342,,,,,,,,,,,,
702464,1002,700,-16.308999999999997,64.09,343,3420,0.01337890625,-2.3403797149658203,-0.27269109222106636,1.4275250630024772e-06,0.2,0.0003,-0.00720630306750536,-0.0004681370686739683,0.0023757229,,
704512,1006,700,-16.376,64.76,344,3430,0.01591796875,-0.07805252075195312,-0.2894896999001503,2.2576301635268694e-06,0.2,0.0003,-0.010649047791957855,-0.00023980699479579924,0.0019649894,,
706560,1008,700,-16.249000000000002,63.49,345,3440,0.054638671875,0.6683768033981323,-0.3274709600023925,1.6635860307978589e-06,0.2,0.0003,0.020013604313135147,-0.0025795144960284234,0.013097854,,
708608,1011,700,-16.116999999999997,62.17,346,3450,0.034521484375,0.8465147018432617,-0.3678308170288801,1.4627673198486236e-06,0.2,0.0003,-0.026639653369784355,-0.0029433318879455326,0.003707861,,
710000,,,,,,3460,0.030712890625,0.8947061896324158,-0.3886632932350039,5.01884962300636e-07,0.2,0.0003,-0.008144639432430267,-0.0036690118547994645,0.0030551483,-16.759999999999998,68.6
710656,1015,700,-15.829000000000002,59.29,347,,,,,,,,,,,,
712704,1017,700,-15.631000000000004,57.31,348,3470,0.05439453125,0.8678305149078369,-0.40749132158234713,3.7412138880199565e-07,0.2,0.0003,0.01841174252331257,-0.0037527833032072523,0.010866024,,
714752,1020,700,-15.369999999999997,54.7,349,3480,0.19384765625,0.5836204290390015,-0.4723587304353714,3.037710579301134e-06,0.2,0.0003,0.042598675936460495,-0.001284732128260657,0.032045826,,
716800,1023,700,-15.171999999999999,52.72,350,3490,0.095849609375,-1.898698329925537,-0.5185638085007668,1.3644156595660206e-06,0.2,0.0003,-0.007079053204506636,0.0007701968468609266,0.008947879,,
718848,1026,700,-15.058,51.58,351,3500,0.076708984375,0.5206518769264221,-0.4595916224643588,2.3957947843378235e-07,0.2,0.0003,-0.021443739533424377,-0.0033797170879552143,0.019568224,,
720000,,,,,,3510,0.172119140625,0.6816171407699585,-0.4558851743116975,1.5764170453458347e-07,0.2,0.0003,0.0026874798350036144,-0.0030253303761128337,0.013541086,-15.6,57.0
720896,1029,700,-15.041999999999996,51.42,352,,,,,,,,,,,,
722944,1032,700,-15.065999999999997,51.66,353,3520,0.0072265625,-0.3273475170135498,-0.45888034580275416,1.7095295921087938e-07,0.2,0.0003,-0.015458397567272186,-0.00013194255880080163,0.0016628099,,
724992,1035,700,-15.097000000000001,51.97,354,3530,0.141748046875,0.47919636964797974,-0.4696929778903723,5.79343178763736e-08,0.2,0.0003,-0.01946571283042431,-0.005232969991629944,0.010926662,,
