time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
,,220000,,,,0.2,0.8271242380142212,1.993877340434119,0.0003,0.134814453125,1070,0.014325762,0.34479910135269165,-1.3776796322315932,-0.011708947841543704,270.4,-2.684
178,1237,221184,0.7149999999999999,108,380.87,,,,,,,,,,,,
178,1247,223232,0.26569999999999994,109,375.77,0.2,0.06394517421722412,1.3554874728899449,0.0003,0.170458984375,1080,0.017758848,0.3459189534187317,-1.4530081249773503,-0.013989655679324642,,
179,1257,225280,0.29240000000000016,110,373.1,0.2,0.14772632718086243,1.4303588070441038,0.0003,0.18671875,1090,0.021703873,0.22895872592926025,-1.4434475548565389,-0.013113565079402178,,
179,1267,227328,0.3809000000000001,111,364.25,0.2,0.3706493675708771,1.658353285677731,0.0003,0.23759765625,1100,0.021583922,0.20639973878860474,-1.3467254728078841,-0.02045145945448894,,
179,1276,229376,1.5312000000000001,112,369.34,0.2,0.07429198175668716,1.4963566889520734,0.0003,0.152734375,1110,0.016192293,-0.0022298097610473633,-1.4219848327338696,-0.01084274900786113,,
,,230000,,,,0.2,0.500042200088501,2.019505337625742,0.0003,0.158935546875,1120,0.016642217,0.018413662910461426,-1.3746911991387605,-0.00966355025593657,299.4,3.0279999999999987
179,1291,231424,2.7381,113,378.78,,,,,,,,,,,,
179,1301,233472,3.5195,114,380.72,0.2,0.3835722804069519,1.970814354903996,0.0003,0.175390625,1130,0.019147826,0.30138587951660156,-1.332293377071619,-0.012715462225605734,,
179,1309,235520,4.333100000000001,115,379.46,0.2,0.8232718110084534,4.173902920912951,0.0003,0.1255859375,1140,0.011601482,0.20039445161819458,-1.241823861375451,-0.009226259068236686,,
180,1318,237568,5.1065,116,382.22,0.2,0.18413421511650085,2.451722505223006,0.0003,0.14462890625,1150,0.016197778,0.3246228098869324,-1.3728852711617947,-0.011608871736098082,,
