rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
212.709,585,1341440,2292,1052.67,655,,,,,,,,,,,,
213.14199999999997,585,1343488,2295,1053.04,656,6550,0.003022908,-0.1359205070650205,0.2,0.0333984375,-0.0027770683751441537,0.31216567754745483,22.764051187038422,0.0003,10.07400131225586,,
215.21800000000002,585,1345536,2298,1060.45,657,6560,0.003006991,-0.14317017808789387,0.2,0.0302734375,-0.0032833015342475847,0.2632165551185608,18.721766692399978,0.0003,9.824555397033691,,
217.382,585,1347584,2301,1067.58,658,6570,0.0027716423,-0.1382271939655766,0.2,0.023583984375,-0.0031150533177424222,0.18783938884735107,21.484201300144196,0.0003,7.197781085968018,,
222.10000000000002,585,1349632,2304,1082.89,659,6580,0.0026783776,-0.1275783196790144,0.2,0.030517578125,-0.003668896618182771,0.28255146741867065,15.658883886039257,0.0003,4.482420444488525,,
,,1350000,,,,6590,0.0026758658,-0.11585379704483785,0.2,0.02294921875,-0.0023629327886737885,0.27653956413269043,30.47431411743164,0.0003,13.425577163696289,1453.8,144.3
222.10000000000002,584,1351680,2311,1082.89,660,,,,,,,,,,,,
222.556,584,1353728,2314,1115.84,661,6600,0.0031901207,-0.14566809947136788,0.2,0.02451171875,-0.0012797113187843934,0.40569257736206055,7.267082014679909,0.0003,4.80606746673584,,
216.30300000000003,584,1355776,2317,1101.72,662,6610,0.003578606,-0.17228109810967,0.2,0.037841796875,-0.0010320157933165319,0.3815317153930664,9.352784169465304,0.0003,7.520960807800293,,
216.30300000000003,585,1357824,2320,1101.72,663,6620,0.0016842312,-0.13388643756043167,0.2,0.01865234375,-0.0015069077460793778,0.1748523712158203,27.555911108851433,0.0003,11.482784271240234,,
216.30300000000003,585,1359872,2323,1101.72,664,6630,0.0012115897,-0.14869410146493464,0.2,0.026611328125,-0.001394805779273156,0.3512346148490906,11.470027489960193,0.0003,11.78020191192627,,
,,1360000,,,,6640,0.020751156,-0.19729243328329177,0.2,0.104345703125,-0.006981868069851771,-0.3274582624435425,0.5685414480045438,0.0003,0.03325928747653961,1733.0,138.01999999999998
218.947,584,1361920,2331,1149.32,665,,,,,,,,,,,,
220.20100000000002,584,1363968,2334,1163.47,666,6650,0.0018344149,-0.19594976229127498,0.2,0.02578125,-0.0009323464415501803,0.4463154077529907,9.136135593801736,0.0003,5.02484655380249,,
214.74900000000002,584,1366016,2337,1163.12,667,6660,0.006002223,-0.20223757450003177,0.2,0.043359375,-0.002979319442238193,0.40632861852645874,11.189143361896276,0.0003,6.9600605964660645,,
214.753,584,1368064,2340,1188.72,668,6670,0.0023308443,-0.18769690953195095,0.2,0.03359375,-0.0024551497655920683,0.37636059522628784,12.33310838341713,0.0003,2.830155849456787,,
,,1370000,,,,6680,0.0047459123,-0.18454482313245535,0.2,0.051416015625,-0.004567270097322762,0.32324862480163574,11.687045584619046,0.0003,4.6498260498046875,1181.0,65.52000000000001
214.753,583,1370112,2347,1188.72,669,,,,,,,,,,,,
218.09699999999998,583,1372160,2350,1214.66,670,6690,0.00333468,-0.19146090620197356,0.2,0.042626953125,-0.0034457344736438245,0.33123600482940674,11.718505960702895,0.0003,3.8899919986724854,,
220.21799999999996,583,1374208,2353,1236.88,671,6700,0.0022602119,-0.192633236059919,0.2,0.037890625,-0.0031988210539566353,0.4068351984024048,12.446169608831406,0.0003,7.362490653991699,,
222.922,584,1376256,2356,1250.82,672,6710,0.0034780346,-0.19451121944002808,0.2,0.051123046875,-0.0040545511350501325,0.3845149278640747,12.522658564150333,0.0003,5.4150285720825195,,
220.03999999999996,584,1378304,2359,1250.42,673,6720,0.001823985,-0.16577052026987077,0.2,0.021337890625,-0.0023804347787518055,0.32391494512557983,21.86801611185074,0.0003,9.391457557678223,,
